Rank,Major,Degree_Type,Early_Career_Pay,Mid_Career_Pay, High_Meaning
211,Business Technology Management,Bachelors,69000,113700,-
211,Construction Science & Management,Bachelors,75700,113700,73%
211,Political Science/Public Law,Bachelors,60000,113700,70%
211,Government & International Politics (GVIP),Bachelors,60700,113700,43%
215,Aviation Flight Science (AFL),Bachelors,64200,113500,49%
216,Engineering Technology (ET),Bachelors,67600,113400,50%
217,Information Technology (IT) & Systems,Bachelors,72000,113300,48%
218,Telecommunications Management,Bachelors,64700,112900,44%
219,Agribusiness,Bachelors,58600,112700,54%
219,Occupational Health and Safety,Bachelors,69000,112700,69%
219,Physical Therapy,Bachelors,57500,112700,88%
222,Industrial Safety,Bachelors,61100,112600,80%
222,Music Production & Engineering,Bachelors,55100,112600,51%
224,Business & Finance,Bachelors,63400,112400,56%
224,Civil Engineering Technology (CET),Bachelors,67900,112400,60%
226,Chemistry,Bachelors,60200,112300,56%
226,French Literature,Bachelors,56300,112300,50%
228,Operations & Supply Chain Management,Bachelors,71500,112200,45%
229,Computer Information Systems,Bachelors,67100,111900,45%
229,Marketing,Bachelors,60200,111900,41%
231,Finance & Banking,Bachelors,65100,111800,46%
232,Computer Programming,Bachelors,68800,111700,50%
233,Marketing & Management,Bachelors,59700,111500,47%
233,Supply Chain Management,Bachelors,71300,111500,42%
235,Technical Communication,Bachelors,57200,111400,44%
236,Cell Biology,Bachelors,58500,111300,59%
237,Networks & Telecommunications,Bachelors,64600,111100,49%
238,Electronics Engineering Technology (EET),Bachelors,74500,110800,50%
239,Biopsychology,Bachelors,61600,110700,74%
239,Applied Networking & Systems Administration,Bachelors,67500,110700,48%
241,Geological Engineering,Bachelors,70500,110600,50%
242,Business Management & Marketing,Bachelors,58700,110500,46%
242,Spanish Literature,Bachelors,59500,110500,48%
244,Real Estate Development,Bachelors,68900,110400,-
245,Electronics & Computer Technology,Bachelors,62300,110300,-
245,Industrial Technology (IT),Bachelors,74100,110300,48%
247,Accounts,Bachelors,69100,110200,44%
247,Construction Technology,Bachelors,73700,110200,-
247,Risk Management,Bachelors,65700,110200,53%
250,Industrial Engineering Technology,Bachelors,77600,110100,50%
250,Genetics,Bachelors,63200,110100,73%
252,Government & Politics,Bachelors,62100,110000,51%
252,Microbiology & Immunology,Bachelors,65400,110000,75%
254,Digital Design,Bachelors,57800,109700,40%
254,Hotel Management,Bachelors,58000,109700,47%
254,Italian Language,Bachelors,58400,109700,41%
254,Safety Management,Bachelors,69300,109700,67%
258,Environmental Health & Safety,Bachelors,66500,109600,66%
258,Marketing Communication,Bachelors,54700,109600,42%
258,Political Science,Bachelors,59800,109600,47%
258,Welding Engineering Technology,Bachelors,83700,109600,44%
